Type,Size,Algorithm,Random,Sorted,Reverse,Half,Nearly
char,100000,insertion,11.4697,11.3402,11.5131,10.9657,11.0617
char,100000,selection,18.1216,18.1276,18.1465,17.4129,18.3317
char,100000,quick,2.47735,2.10483,2.27776,0.23742,2.21392
char,100000,merge,0.0450079,0.0393773,0.0420203,0.0408905,0.0424565
char,100000,heap,0.036532,0.0351024,0.0361198,0.044384,0.0365064
char,1000000,bubble,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
char,1000000,insertion,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
char,1000000,selection,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
char,1000000,quick,10.4782,10.1429,10.6546,22.2196,655.851
char,1000000,merge,0.50002,0.425699,0.468791,0.481874,0.526214
char,1000000,heap,0.459506,0.499133,0.623193,0.583917,0.454125
